,mean,var,cv2,poisson_dist,O,O_real,O_pred
00R_AC107638.2,0.00021344717182497332,0.00021340161212981325,4684.0,0.9997865528281751,0.00021344717182497332,0.00021344717182497332,0.00021341923039663868
0610005C13Rik,0.02454642475987193,0.03205489032072887,53.20075614366731,1.305888357848824,0.02113127001067236,0.02113127001067236,0.024181548976225153
0610007P14Rik,0.02305229455709712,0.02508225233464963,47.19958847736625,1.088058816554014,0.021771611526147278,0.021771611526147278,0.022730237593314717
0610009B22Rik,0.030096051227321237,0.030044067615143583,33.16955887530808,0.9982727430989197,0.02966915688367129,0.02966915688367129,0.029549107884955683
0610009E02Rik,0.00021344717182497332,0.00021340161212981323,4684.0,0.9997865528281751,0.00021344717182497332,0.00021344717182497332,0.00021341923039663868
0610009L18Rik,0.006189967982924227,0.006578546622944547,171.69322235434007,1.0627755492584552,0.005976520811099253,0.005976520811099253,0.006166542533630359
0610009O20Rik,0.0288153681963714,0.030119514470328672,36.27434842249656,1.0452587058777023,0.02774813233724653,0.02774813233724653,0.028313651304399223
0610010F05Rik,0.007470651013874066,0.007841734730952914,140.50612244897957,1.049672206128983,0.007257203842049093,0.007257203842049093,0.0074365523143070655
0610010K14Rik,0.0012806830309498398,0.0012790428819240774,779.8333333333336,0.9987193169690505,0.0012806830309498398,0.0012806830309498398,0.001279677701154669
0610012G03Rik,0.11056563500533619,0.11413596607625101,9.336458907887481,1.032291507851807,0.10352187833511206,0.10352187833511206,0.10347852699112103
0610030E20Rik,0.013233724653148345,0.013058593184953001,74.56451612903227,0.9867662753468518,0.013233724653148345,0.013233724653148345,0.013127045048855868
0610031O16Rik,0.0032017075773745998,0.003191456645963582,311.33333333333337,0.9967982924226255,0.0032017075773745998,0.0032017075773745998,0.003195430574946867
0610037L13Rik,0.05016008537886873,0.04977852293190307,19.7845178813943,0.9923931061104931,0.04909284951974386,0.04909284951974386,0.04865637169813708
0610039K10Rik,0.0010672358591248667,0.0010660968667458646,935.9999999999999,0.9989327641408751,0.0010672358591248667,0.0010672358591248667,0.0010665376354636047
0610040B10Rik,0.00384204909284952,0.0038272877516176557,259.2777777777779,0.996157950907151,0.00384204909284952,0.00384204909284952,0.0038330132336734657
0610040F04Rik,0.00021344717182497332,0.00021340161212981325,4684.0,0.9997865528281751,0.00021344717182497332,0.00021344717182497332,0.00021341923039663868
0610040J01Rik,0.008537886872998933,0.00889188570439275,121.98124999999996,1.0414621131270008,0.008324439701173959,0.008324439701173959,0.008493374575670565
0610043K17Rik,0.0006403415154749199,0.0006399314782184795,1560.6666666666677,0.9993596584845257,0.0006403415154749199,0.0006403415154749199,0.0006400900988003944
1010001B22Rik,0.00042689434364994664,0.00042671210486930626,2341.4999999999995,0.9995731056563498,0.00042689434364994664,0.00042689434364994664,0.0004267825904223921
1110002J07Rik,0.0006403415154749199,0.0006399314782184795,1560.6666666666677,0.9993596584845257,0.0006403415154749199,0.0006403415154749199,0.0006400900988003944
1110002L01Rik,0.0010672358591248667,0.0010660968667458646,935.9999999999999,0.9989327641408751,0.0010672358591248667,0.0010672358591248667,0.0010665376354636047
1110003F10Rik,0.00042689434364994664,0.00042671210486930626,2341.4999999999995,0.9995731056563498,0.00042689434364994664,0.00042689434364994664,0.0004267825904223921
1110004E09Rik,0.01536819637139808,0.01555890925533817,65.87692901234567,1.0124095814063796,0.015154749199573105,0.015154749199573105,0.015224488329719676
1110004F10Rik,0.0919957310565635,0.09249729774058078,10.92933392908091,1.005452064767102,0.08751334044823907,0.08751334044823907,0.0870436393591223
1110006O24Rik,0.00021344717182497332,0.00021340161212981323,4684.0,0.9997865528281751,0.00021344717182497332,0.00021344717182497332,0.00021341923039663868
1110008F13Rik,0.16051227321237993,0.16761894782162015,6.50588855251245,1.0442749608301733,0.1455709711846318,0.1455709711846318,0.14593795064090798
1110008L16Rik,0.00576307363927428,0.005729860621502582,172.5185185185185,0.9942369263607257,0.00576307363927428,0.00576307363927428,0.005742763344017243
1110008P14Rik,0.03628601921024546,0.03625002705106901,27.531487889273365,0.9990080984368136,0.03564567769477055,0.03564567769477055,0.0354934870123933
1110012L19Rik,0.01536819637139808,0.015985803598988116,67.6844135802469,1.0401873591841573,0.014941302027748132,0.014941302027748132,0.015224488329719676
1110015O18Rik,0.00021344717182497332,0.00021340161212981325,4684.0,0.9997865528281751,0.00021344717182497332,0.00021344717182497332,0.00021341923039663868
1110017D15Rik,0.0014941302027748132,0.0014918977777119693,668.2857142857143,0.9985058697972252,0.0014941302027748132,0.0014941302027748132,0.0014927619900084732
1110018N20Rik,0.0008537886872998933,0.0008530597321773321,1170.25,0.9991462113127001,0.0008537886872998933,0.0008537886872998933,0.000853341774245342
1110019D14Rik,0.0025613660618996796,0.0025548054657966277,389.41666666666663,0.9974386339381002,0.0025613660618996796,0.0025613660618996796,0.0025573474353376424
1110020A21Rik,0.00192102454642476,0.0019173342111167943,519.5555555555558,0.9980789754535757,0.00192102454642476,0.00192102454642476,0.0019187633119285286
1110025M09Rik,0.0021344717182497333,0.002129915748733725,467.49999999999994,0.9978655282817502,0.0021344717182497333,0.0021344717182497333,0.002131680382335688
1110028F11Rik,0.0012806830309498398,0.0012790428819240774,779.8333333333336,0.9987193169690505,0.0012806830309498398,0.0012806830309498398,0.001279677701154669
1110032A03Rik,0.020490928495197437,0.02220552206285188,52.88563368055557,1.0836757381714694,0.019423692636072572,0.019423692636072572,0.020236125865541577
1110032F04Rik,0.0008537886872998933,0.000853059732177332,1170.25,0.9991462113127001,0.0008537886872998933,0.0008537886872998933,0.000853341774245342
