,mean,var,cv2,poisson_dist,O,O_real,O_pred
0610005C13Rik,0.000554016620498615,0.0005537096860828262,1803.9999999999995,0.9994459833795012,0.000554016620498615,0.000554016620498615,0.0005538051116176224
0610006L08Rik,0.0002770083102493075,0.0002769315766453602,3608.999999999998,0.9997229916897503,0.0002770083102493075,0.0002770083102493075,0.00027695542321604094
0610007P14Rik,0.042105263157894736,0.04199445983379502,23.687500000000004,0.9973684210526317,0.04127423822714681,0.04127423822714681,0.04091662133969365
0610009B22Rik,0.04016620498614958,0.047417146891138046,29.390963139120103,1.1805234501862645,0.03684210526315789,0.03684210526315789,0.03908315764697923
0610009E02Rik,0.003878116343490305,0.003863076557116657,256.8571428571428,0.9961218836565094,0.003878116343490305,0.003878116343490305,0.0038677754297830047
0610009L18Rik,0.019390581717451522,0.019014587058110353,50.57142857142856,0.9806094182825482,0.019390581717451522,0.019390581717451522,0.01913470950965812
0610009O20Rik,0.031301939058171746,0.031984177530866104,32.64319837105491,1.021795406074572,0.030470914127423823,0.030470914127423823,0.030640360491759555
0610010F05Rik,0.021052631578947368,0.021717451523545706,48.99999999999999,1.031578947368421,0.020498614958448753,0.020498614958448753,0.0207513464602066
0610010K14Rik,0.00221606648199446,0.00221115553134184,450.2499999999999,0.9977839335180053,0.00221606648199446,0.00221606648199446,0.0022126861029058142
0610012G03Rik,0.10526315789473684,0.11301939058171745,10.200000000000001,1.0736842105263158,0.09667590027700831,0.09667590027700831,0.09812642842256736
0610025J13Rik,0.0002770083102493075,0.00027693157664536016,3608.9999999999977,0.9997229916897501,0.0002770083102493075,0.0002770083102493075,0.00027695542321604094
0610030E20Rik,0.03434903047091413,0.035939257679115426,30.460718002081173,1.0462961308194088,0.03296398891966759,0.03296398891966759,0.03355396623843665
0610037L13Rik,0.08421052631578947,0.09041551246537395,12.75,1.0736842105263158,0.07839335180055401,0.07839335180055401,0.07958240829840446
0610039K10Rik,0.0013850415512465374,0.001383123211147858,721.0000000000001,0.9986149584487536,0.0013850415512465374,0.0013850415512465374,0.0013837203561335443
0610040B10Rik,0.004709141274238227,0.005240981883196108,236.33564013840834,1.1129379175492913,0.00443213296398892,0.00443213296398892,0.004693902163928398
0610040F04Rik,0.0002770083102493075,0.0002769315766453601,3608.999999999997,0.9997229916897499,0.0002770083102493075,0.0002770083102493075,0.00027695542321604094
0610040J01Rik,0.03656509695290859,0.04243030670421498,31.73530762167125,1.1604046000167882,0.033795013850415515,0.033795013850415515,0.03566543716606796
1010001B22Rik,0.00110803324099723,0.0011068055033340756,901.5000000000002,0.998891966759003,0.00110803324099723,0.00110803324099723,0.0011071875193024994
1010001N08Rik,0.00443213296398892,0.004966505781877056,252.8281249999999,1.1205678670360106,0.004155124653739612,0.004155124653739612,0.004418631462258071
1110002E22Rik,0.0002770083102493075,0.00027693157664536027,3608.999999999999,0.9997229916897505,0.0002770083102493075,0.0002770083102493075,0.00027695542321604094
1110002J07Rik,0.0002770083102493075,0.0002769315766453602,3608.999999999998,0.9997229916897503,0.0002770083102493075,0.0002770083102493075,0.00027695542321604094
1110002L01Rik,0.00221606648199446,0.00221115553134184,450.2499999999999,0.9977839335180053,0.00221606648199446,0.00221606648199446,0.0022126861029058142
1110002O04Rik,0.0016620498614958448,0.001659287451753746,600.6666666666665,0.9983379501385039,0.0016620498614958448,0.0016620498614958448,0.0016601476932458503
1110003F10Rik,0.0013850415512465374,0.0013831232111478574,720.9999999999997,0.998614958448753,0.0013850415512465374,0.0013850415512465374,0.0013837203561335443
1110004E09Rik,0.03185595567867036,0.03361123686896202,33.12098298676748,1.05510056606046,0.030470914127423823,0.030470914127423823,0.03117099967031023
1110004F10Rik,0.12077562326869806,0.13167363663569184,9.026933759784528,1.0902335510432284,0.10969529085872576,0.10969529085872576,0.1114701373884811
1110006O24Rik,0.006648199445983379,0.006604000890109806,149.41666666666669,0.9933518005540167,0.006648199445983379,0.006648199445983379,0.006617865959854918
1110008F13Rik,0.09030470914127424,0.10043231712463842,12.315518084986266,1.1121492785887874,0.08199445983379501,0.08199445983379501,0.08500286960209191
1110008L16Rik,0.0033240997229916896,0.0033130500840232967,299.83333333333337,0.9966759002770084,0.0033240997229916896,0.0033240997229916896,0.0033164995035450673
1110008P14Rik,0.055401662049861494,0.05676445085596335,18.494,1.0245983379501384,0.05318559556786703,0.05318559556786703,0.05336138463488238
1110012L19Rik,0.03434903047091413,0.03483122443811819,29.521592091571282,1.0140380663032795,0.03351800554016621,0.03351800554016621,0.03355396623843665
1110017D15Rik,0.0033240997229916896,0.004421083325020525,400.1111111111111,1.3300092336103415,0.002770083102493075,0.002770083102493075,0.0033164995035450673
1110018N20Rik,0.0033240997229916896,0.0033130500840232962,299.83333333333337,0.9966759002770084,0.0033240997229916896,0.0033240997229916896,0.0033164995035450673
1110019D14Rik,0.003601108033240997,0.003588140054173923,276.69230769230757,0.9963988919667586,0.003601108033240997,0.003601108033240997,0.003592189982525862
1110020A21Rik,0.0033240997229916896,0.0033130500840232962,299.83333333333337,0.9966759002770084,0.0033240997229916896,0.0033240997229916896,0.0033164995035450673
1110025M09Rik,0.0013850415512465374,0.0013831232111478574,720.9999999999997,0.998614958448753,0.0013850415512465374,0.0013850415512465374,0.0013837203561335443
1110028F11Rik,0.0002770083102493075,0.0002769315766453602,3608.999999999998,0.9997229916897503,0.0002770083102493075,0.0002770083102493075,0.00027695542321604094
1110032A03Rik,0.04376731301939058,0.04683788491494081,24.451049511296272,1.070156737613521,0.04127423822714681,0.04127423822714681,0.04248436448946724
1110034G24Rik,0.016066481994459834,0.01580835015078153,61.24137931034481,0.98393351800554,0.016066481994459834,0.016066481994459834,0.01589043126017764
1110035H17Rik,0.004709141274238227,0.005240981883196109,236.3356401384084,1.1129379175492915,0.00443213296398892,0.00443213296398892,0.004693902163928398
1110037F02Rik,0.027146814404432132,0.028625931354117895,38.84381507705121,1.054485838656792,0.0260387811634349,0.0260387811634349,0.026647860684619773
1110038B12Rik,0.017451523545706372,0.020471067594631718,67.21617535903249,1.173024666930484,0.016066481994459834,0.016066481994459834,0.017244001218061245
1110038F14Rik,0.06925207756232687,0.07276647662310755,15.172799999999997,1.050747922437673,0.06509695290858726,0.06509695290858726,0.06609230081852613
1110046J04Rik,0.00443213296398892,0.004412489161378441,224.62499999999991,0.9955678670360107,0.00443213296398892,0.00443213296398892,0.004418631462258071
1110051M20Rik,0.023822714681440444,0.026025276049140206,45.85776095186588,1.0924563550860016,0.022437673130193906,0.022437673130193906,0.02343763159089307
1110059E24Rik,0.03213296398891967,0.03165445323470507,30.657253269916758,0.9851084153214249,0.03185595567867036,0.03185595567867036,0.031436170264431795
1110059G10Rik,0.03795013850415512,0.03928000859416365,27.273749267409034,1.0350425622257722,0.03656509695290859,0.03656509695290859,0.036981906707937995
1110065P20Rik,0.043213296398891966,0.04522402375672379,24.217784352399743,1.046530293344698,0.04127423822714681,0.04127423822714681,0.04196217212340492
1190002N15Rik,0.02326869806094183,0.024389315612986393,45.04591836734693,1.0481598733676294,0.022437673130193906,0.022437673130193906,0.02290118347471015
1190005I06Rik,0.0030470914127423824,0.0030378066466647748,327.18181818181824,0.9969529085872578,0.0030470914127423824,0.0030470914127423824,0.0030407039345006215
1190007I07Rik,0.018836565096952907,0.019035765532799783,53.64965397923878,1.0105751996089298,0.0185595567867036,0.0185595567867036,0.018595016879454418
1200007C13Rik,0.003878116343490305,0.007187176280108354,477.87755102040853,1.8532647407993683,0.002770083102493075,0.002770083102493075,0.0038677754297830047
1300002E11Rik,0.03684210526315789,0.03714681440443214,27.36734693877552,1.0082706766917295,0.036011080332409975,0.036011080332409975,0.0359289276650695
1300017J02Rik,0.000554016620498615,0.0005537096860828262,1803.9999999999995,0.9994459833795012,0.000554016620498615,0.000554016620498615,0.0005538051116176224
1500002C15Rik,0.0013850415512465374,0.0013831232111478579,720.9999999999999,0.9986149584487533,0.0013850415512465374,0.0013850415512465374,0.0013837203561335443
1500002F19Rik,0.0002770083102493075,0.0002769315766453602,3608.999999999998,0.9997229916897503,0.0002770083102493075,0.0002770083102493075,0.00027695542321604094
1500004A13Rik,0.0002770083102493075,0.00027693157664536016,3608.9999999999977,0.9997229916897501,0.0002770083102493075,0.0002770083102493075,0.00027695542321604094
1500009L16Rik,0.014681440443213296,0.016681962231720138,77.39444642221432,1.1362619557832019,0.013573407202216066,0.013573407202216066,0.014534299979841125
1500011B03Rik,0.030470914127423823,0.035082603724649136,37.785123966942145,1.151347267690758,0.027977839335180055,0.027977839335180055,0.029843655938651792
1500011K16Rik,0.057617728531855955,0.06039210871617006,18.191475591715975,1.0481515022373746,0.05484764542936288,0.05484764542936288,0.05541410753231746
