,abundance
ENSMUSG00000000959,2.8231920288316552e-05
ENSMUSG00000000976,1.5076585341363928e-05
ENSMUSG00000000982,4.3317971337508255e-06
ENSMUSG00000000983,1.228750644611365e-07
ENSMUSG00000001016,8.239643313323971e-05
ENSMUSG00000001017,8.0704292998585e-05
ENSMUSG00000001018,6.977704663859241e-05
ENSMUSG00000001021,2.9784700347592668e-05
ENSMUSG00000001023,1.3190358591358104e-05
ENSMUSG00000001025,0.00424931692642201
ENSMUSG00000001027,1.6377177622694145e-08
ENSMUSG00000001034,8.944007492579381e-06
ENSMUSG00000001036,5.845817261293338e-06
ENSMUSG00000001039,6.075482068256421e-05
ENSMUSG00000001052,4.703653102072614e-05
ENSMUSG00000001053,7.820685235359977e-07
ENSMUSG00000001054,2.822609989411152e-05
ENSMUSG00000001056,0.00022838749784059517
ENSMUSG00000001062,6.627777670095587e-06
ENSMUSG00000001082,1.114724776306253e-05
ENSMUSG00000001089,7.151961985447873e-05
ENSMUSG00000001095,5.7908292343101004e-08
ENSMUSG00000001098,2.6068687769038148e-05
ENSMUSG00000001100,7.578975436676335e-05
ENSMUSG00000001103,1.2494131506431428e-08
ENSMUSG00000001105,0.00011004156911586401
ENSMUSG00000001119,0.00025912451278545766
ENSMUSG00000001120,4.091571083534424e-06
ENSMUSG00000001123,4.855306048273314e-05
ENSMUSG00000001127,5.496934318022859e-05
ENSMUSG00000001128,4.700373309145655e-06
ENSMUSG00000001131,0.001221854623321896
ENSMUSG00000001134,3.9583344536996884e-05
ENSMUSG00000001138,5.114305937601196e-06
ENSMUSG00000001143,9.321113456585826e-06
ENSMUSG00000001150,5.164645857835961e-05
ENSMUSG00000001151,1.9319314869921436e-05
ENSMUSG00000001156,4.686031448256309e-06
ENSMUSG00000001157,3.0771956858022294e-05
ENSMUSG00000001158,0.0001513874007736942
ENSMUSG00000001166,7.353260289605891e-07
ENSMUSG00000001173,3.02795133223902e-05
ENSMUSG00000001175,0.0011422756957709848
ENSMUSG00000001211,2.780025930520434e-05
ENSMUSG00000001225,1.2235333729283707e-07
ENSMUSG00000001227,8.797792218645427e-07
ENSMUSG00000001228,1.892219773704914e-05
ENSMUSG00000001229,3.671617884729921e-05
ENSMUSG00000001240,9.857899460566172e-05
ENSMUSG00000001247,1.2610553671927535e-07
ENSMUSG00000001248,8.338546197997569e-06
ENSMUSG00000001249,2.1193592168790852e-07
ENSMUSG00000001270,1.7522896443441623e-05
ENSMUSG00000001280,4.034090342198016e-05
ENSMUSG00000001281,4.080438799209735e-06
ENSMUSG00000001285,2.7741101936884553e-05
ENSMUSG00000001288,1.847403941052678e-05
ENSMUSG00000001289,0.00031781003007563634
ENSMUSG00000001300,4.978166622403331e-05
ENSMUSG00000001305,7.728425090483861e-05
ENSMUSG00000001313,8.408336238385923e-06
ENSMUSG00000001323,1.4017948428336201e-05
ENSMUSG00000001333,1.8501593222286783e-06
ENSMUSG00000001334,4.325915962977575e-07
ENSMUSG00000001348,2.402493529881073e-07
ENSMUSG00000001349,0.00016011401723345424
ENSMUSG00000001366,1.595562097978366e-05
ENSMUSG00000001376,3.0250874819451665e-05
ENSMUSG00000001380,7.357640433568958e-05
ENSMUSG00000001383,0.00015701730356402016
ENSMUSG00000001403,0.00011176820646757545
ENSMUSG00000001415,1.1917050134309049e-05
ENSMUSG00000001416,0.0003225230324413378
ENSMUSG00000001418,0.00013080044971833186
ENSMUSG00000001419,2.2708094069991122e-05
ENSMUSG00000001420,5.373642764151735e-07
ENSMUSG00000001424,5.6314570214642624e-05
ENSMUSG00000001435,5.469690490119457e-06
ENSMUSG00000001436,2.33571035097364e-05
ENSMUSG00000001440,0.000519721617016446
ENSMUSG00000001441,9.048788800632894e-05
ENSMUSG00000001445,7.445901261387556e-05
ENSMUSG00000001467,6.076527624579432e-05
ENSMUSG00000001473,0.00030410430631981725
ENSMUSG00000001493,2.709345376683639e-08
ENSMUSG00000001497,7.517563179899508e-06
ENSMUSG00000001504,3.076957285581178e-06
ENSMUSG00000001506,0.0015729789057042306
ENSMUSG00000001507,5.469433827206037e-05
ENSMUSG00000001508,1.8805331545661342e-06
ENSMUSG00000001510,9.764259471542179e-07
ENSMUSG00000001517,2.0190734179927815e-05
ENSMUSG00000001518,6.379896414026029e-06
ENSMUSG00000001520,2.616435574093778e-07
ENSMUSG00000001521,9.758133984181178e-05
ENSMUSG00000001524,1.5684599035168313e-05
ENSMUSG00000001525,0.0009380003975668975
ENSMUSG00000001542,4.1829588924679e-05
ENSMUSG00000001552,2.6361134660571435e-05
ENSMUSG00000001555,0.00016742495824312247
ENSMUSG00000001558,2.3679032407288207e-06
ENSMUSG00000001569,3.514810563621962e-05
ENSMUSG00000001576,0.00016555729695805416
ENSMUSG00000001583,1.9070073228964237e-08
ENSMUSG00000001588,1.3350524697963068e-07
ENSMUSG00000001604,5.669238730419686e-06
ENSMUSG00000001627,5.685271785084741e-05
ENSMUSG00000001630,1.2665458989093926e-05
ENSMUSG00000001632,1.0184096948393243e-05
ENSMUSG00000001642,6.334246753882775e-05
ENSMUSG00000001655,2.2706678106307504e-05
ENSMUSG00000001656,7.261545362155599e-06
ENSMUSG00000001663,3.887464825668497e-06
ENSMUSG00000001666,7.301814023764039e-05
ENSMUSG00000001672,5.0739616696216825e-08
ENSMUSG00000001674,6.487578649914953e-05
ENSMUSG00000001687,7.493114423066282e-05
ENSMUSG00000001700,1.980735949551705e-05
ENSMUSG00000001707,0.00018077792740208578
ENSMUSG00000001729,8.377459468382588e-05
ENSMUSG00000001739,8.988115927142374e-07
ENSMUSG00000001741,8.933675382772577e-07
ENSMUSG00000001750,9.484483219682973e-06
ENSMUSG00000001751,1.3058544792175737e-05
ENSMUSG00000001755,1.7510248207520756e-05
ENSMUSG00000001761,4.136146172310344e-05
ENSMUSG00000001763,1.604845804749568e-06
ENSMUSG00000001767,3.083572150250898e-05
ENSMUSG00000001768,3.295392491143148e-05
ENSMUSG00000001774,9.175547579364113e-05
ENSMUSG00000001783,0.00011160880003957881
